canon powershot g3,,,i recently purchased the canon powershot g3 and am extremely satisfied with the purchase .,nsubj####purchased####i######nsubj####satisfied####i######advmod####purchased####recently######det####g3####the######amod####g3####canon######nn####g3####powershot######dobj####purchased####g3######auxpass####satisfied####am######advmod####satisfied####extremely######conj_and####purchased####satisfied######det####purchase####the######prep_with####satisfied####purchase
,,,"this is by no means unique to this model , i 'm sure .",nsubj####unique####this######cop####unique####is######det####means####no######prep_by####unique####means######ccomp####sure####unique######det####model####this######prep_to####unique####model######nsubj####sure####i######cop####sure####'m
lens,,,the zoom lens unit_feels fragile and it is worth buying a good camera_bag if you are going put to carry it round a lot .,det####lens####the######amod####lens####zoom######nsubj####unit_feels####lens######acomp####unit_feels####fragile######nsubj####worth####it######cop####worth####is######conj_and####unit_feels####worth######xcomp####worth####buying######det####camera_bag####a######amod####camera_bag####good######dobj####buying####camera_bag######mark####going####if######nsubj####going####you######xsubj####carry####you######aux####going####are######advcl####worth####going######dep####going####put######aux####carry####to######xcomp####put####carry######nsubj####round####it######ccomp####carry####round######det####lot####a######dobj####round####lot
,,,this is not a handbag_camera .,nsubj####handbag_camera####this######cop####handbag_camera####is######neg####handbag_camera####not######det####handbag_camera####a
,size,,"while light , it will not easily go in small handbags or pockets .",mark####light####while######advcl####go####light######nsubj####go####it######aux####go####will######neg####go####not######advmod####go####easily######amod####handbags####small######prep_in####go####handbags######prep_in####go####pockets######conj_or####handbags####pockets
lever,,,the function lever - the one which switches between capture and view_mode feels fragile .,det####lever####the######nn####lever####function######det####one####the######dep####lever####one######dobj####feels####one######rel####feels####which######nsubj####feels####switches######prep_between####switches####capture######prep_between####switches####view_mode######conj_and####capture####view_mode######rcmod####one####feels######acomp####feels####fragile
flash,,,"flash - as with all built-in flashes in small cameras , you get overilluminated main subjects with depth being lost .",ccomp####get####flash######advmod####flash####as######dep####as####with######det####flashes####all######amod####flashes####built-in######pobj####with####flashes######amod####cameras####small######prep_in####flashes####cameras######nsubj####get####you######amod####subjects####overilluminated######amod####subjects####main######dobj####get####subjects######prep_with####get####depth######auxpass####lost####being######partmod####depth####lost
,,,the g3 has a shoe which will take other powerful ( and expensive ) canon_flashes that will allow bounce and reflected flash photography .,det####g3####the######nsubj####has####g3######nsubj####reflected####g3######det####shoe####a######dobj####has####shoe######nsubj####take####shoe######aux####take####will######rcmod####shoe####take######amod####canon_flashes####other######nn####canon_flashes####powerful######dep####expensive####and######dep####canon_flashes####expensive######dobj####take####canon_flashes######nsubj####allow####canon_flashes######aux####allow####will######rcmod####canon_flashes####allow######dobj####allow####bounce######conj_and####has####reflected######nn####photography####flash######dobj####reflected####photography
strap,,,the strap is horrible and gets in the way of parts of the camera you need access to .,det####strap####the######nsubj####horrible####strap######nsubj####gets####strap######cop####horrible####is######dep####need####horrible######conj_and####horrible####gets######dep####need####gets######det####way####the######prep_in####gets####way######prep_of####way####parts######det####camera####the######prep_of####parts####camera######nsubj####need####you######dobj####need####access######prep####need####to
,,,"if you can afford this camera , you can afford to get a better strap elsewhere - a very minor quibble .",mark####afford####if######nsubj####afford####you######aux####afford####can######advcl####afford####afford######det####camera####this######dobj####afford####camera######nsubj####afford####you######xsubj####get####you######aux####afford####can######aux####get####to######xcomp####afford####get######det####strap####a######amod####strap####better######dobj####get####strap######advmod####get####elsewhere######det####quibble####a######advmod####minor####very######amod####quibble####minor######dep####get####quibble
,,,good points :,amod####points####good
camera,,,the functionality on this camera is mind-blowing .,det####functionality####the######nsubj####mind-blowing####functionality######det####camera####this######prep_on####functionality####camera######cop####mind-blowing####is
"option, control",,,canon have packed a lot in here and the options and controls are easy to use and logically laid out .,nsubj####packed####canon######aux####packed####have######det####lot####a######dobj####packed####lot######prep####lot####in######pobj####in####here######det####options####the######nsubj####easy####options######nsubj####laid####options######conj_and####options####controls######nsubj####easy####controls######cop####easy####are######conj_and####packed####easy######aux####use####to######xcomp####easy####use######advmod####laid####logically######conj_and####packed####laid######conj_and####easy####laid######prt####laid####out
learning,,,learning how to use it will not take very long .,csubj####take####learning######advmod####use####how######aux####use####to######ccomp####learning####use######xcomp####learning####use######dobj####use####it######aux####take####will######neg####take####not######advmod####long####very######acomp####take####long
image quality,,,the image_quality is excellent .,det####image_quality####the######nsubj####excellent####image_quality######cop####excellent####is
,,,"messing around with images in photoshop ( a supplied software_package ) and printing them on a good printer , yielded excellent results .",ccomp####yielded####messing######prt####messing####around######prep_with####messing####images######prep_in####images####photoshop######det####software_package####a######amod####software_package####supplied######appos####photoshop####software_package######conj_and####messing####printing######ccomp####yielded####printing######dobj####printing####them######det####printer####a######amod####printer####good######prep_on####printing####printer######amod####results####excellent######dobj####yielded####results
,,,"unless you are making posters , a g3 is more than good enough .",mark####making####unless######nsubj####making####you######aux####making####are######advcl####good####making######dobj####making####posters######det####g3####a######nsubj####good####g3######cop####good####is######advmod####good####more######dep####more####than######advmod####good####enough
function,,,range of functions - as indicated above - it has something for everyone : point and shoot power plus advanced functions for those who are serious about photography .,nsubj####point####range######nsubj####shoot####range######prep_of####range####functions######mark####indicated####as######dep####range####indicated######prep####indicated####above######nsubj####has####it######dep####above####has######dobj####has####something######prep_for####something####everyone######conj_and####point####shoot######dobj####point####power######prep####power####plus######amod####functions####advanced######dep####plus####functions######prep_for####point####those######nsubj####serious####those######cop####serious####are######rcmod####those####serious######prep_about####serious####photography
,,,please note that this is the first digital camera_i have owned or used .,dep####note####please######complm####camera_i####that######nsubj####camera_i####this######cop####camera_i####is######det####camera_i####the######amod####camera_i####first######amod####camera_i####digital######ccomp####note####camera_i######aux####owned####have######rcmod####camera_i####owned######rcmod####camera_i####used######conj_or####owned####used
,,,a lot of my opinions are more relevant for those who are switching from film .,det####lot####a######nsubj####relevant####lot######poss####opinions####my######prep_of####lot####opinions######cop####relevant####are######advmod####relevant####more######prep_for####relevant####those######nsubj####switching####those######aux####switching####are######rcmod####those####switching######prep_from####switching####film
,,,i did extensive research before chosing the g3 but there 's nothing like picking one up and playing with it first .,nsubj####did####i######amod####research####extensive######dobj####did####research######prepc_before####did####chosing######det####g3####the######dobj####chosing####g3######expl####'s####there######conj_but####did####'s######nsubj####'s####nothing######prepc_like####nothing####picking######dobj####picking####one######prt####picking####up######prepc_like####nothing####playing######conj_and####picking####playing######prep_with####playing####it######advmod####playing####first
camera,,,this is by far the finest camera in its price and category_i have ever used .,nsubj####is####this######advmod####camera####far######det####camera####the######amod####camera####finest######prep_by####is####camera######poss####price####its######prep_in####camera####price######nsubj####used####category_i######aux####used####have######advmod####used####ever######conj_and####is####used
,,,it is also one of the few electronic items that works right out of the box .,nsubj####one####it######cop####one####is######advmod####one####also######nsubj####works####one######det####items####the######amod####items####few######amod####items####electronic######prep_of####one####items######rcmod####one####works######advmod####works####right######det####box####the######prep_out_of####works####box
"macro, auto mode",,,the macro works great for medical photographs and the auto_mode is terrific for point and shoot .,det####macro####the######nsubj####works####macro######acomp####works####great######amod####photographs####medical######prep_for####great####photographs######det####auto_mode####the######nsubj####terrific####auto_mode######cop####terrific####is######conj_and####works####terrific######prep_for####terrific####point######prep_for####terrific####shoot######conj_and####point####shoot
camera,,,this camera is closest to perfect than any other digicam that is 4-5 megapixel .,det####camera####this######nsubj####closest####camera######cop####closest####is######aux####perfect####to######xcomp####closest####perfect######det####digicam####any######amod####digicam####other######prep_than####perfect####digicam######nsubj####megapixel####digicam######cop####megapixel####is######measure####megapixel####4-5######rcmod####digicam####megapixel
,,,beats that sony f717 ; its archrival .,det####f717####that######amod####f717####sony######dep####beats####f717######poss####archrival####its######dep####beats####archrival
4mp resolution,,,i 'm glad canon decided to keep the 4mp resolution and improved upon it with new technology ;,nsubj####glad####i######cop####glad####'m######nsubj####decided####canon######xsubj####keep####canon######nsubj####improved####canon######ccomp####glad####decided######aux####keep####to######xcomp####decided####keep######det####resolution####the######amod####resolution####4mp######dobj####keep####resolution######ccomp####glad####improved######conj_and####decided####improved######prep_upon####improved####it######amod####technology####new######prep_with####improved####technology
,,,i can 't fit all that resolution ( 4mp = 2272x 1704 resol . ) in my 19in flat monitor ( 1200x1024 resol . ) anyways .
,,,please go to read dpreview.com and you 'll get the complete story .,dep####go####please######aux####read####to######dep####go####read######dobj####read####dpreview.com######nsubj####get####you######aux####get####'ll######dep####go####get######conj_and####read####get######det####story####the######amod####story####complete######dobj####get####story
,,,my story is based on personal usage .,poss####story####my######nsubjpass####based####story######auxpass####based####is######amod####usage####personal######prep_on####based####usage
,distortion,,"yes there is a corner lens barrel distortion ( i do n't like it too but no harm done since i always use the camea_lcd screen to see exactly what i 'm going to get ) in the viewfinder when you do n't zoom ( when you zoom the lens_distortion goes away ) , canon knows this and engineered it that way to minimize the parallax_phenomenon ; that is what lmost exactly ot the picture ."
,,,moving the viewfinder elsewhere on the camera will remove the lens distortion but increase the parallax_phenomenon .,csubj####remove####moving######csubj####increase####moving######det####viewfinder####the######dobj####moving####viewfinder######advmod####moving####elsewhere######det####camera####the######prep_on####moving####camera######aux####remove####will######det####distortion####the######nn####distortion####lens######dobj####remove####distortion######conj_but####remove####increase######det####parallax_phenomenon####the######dobj####increase####parallax_phenomenon
,,,the distortion is not a flaw .,det####distortion####the######nsubj####flaw####distortion######cop####flaw####is######neg####flaw####not######det####flaw####a
,,,"as with taking digital pictures , i notice other people including myself have errors on their compactflash which results in certain shots being partially taken or lost - this is an issue that seems to effect_compactflash and other digicam_brand .",dep####with####as######advcl####have####with######pcomp####with####taking######amod####pictures####digital######dobj####taking####pictures######dep####have####i######nn####people####notice######amod####people####other######nsubj####have####people######prep_including####people####myself######dobj####have####errors######nsubj####results####errors######poss####compactflash####their######prep_on####errors####compactflash######rcmod####errors####results######amod####shots####certain######prep_in####results####shots######auxpass####taken####being######advmod####taken####partially######partmod####shots####taken######partmod####shots####lost######conj_or####taken####lost######nsubj####issue####this######cop####issue####is######det####issue####an######parataxis####have####issue######nsubj####seems####issue######rcmod####issue####seems######amod####digicam_brand####effect_compactflash######conj_and####effect_compactflash####other######amod####digicam_brand####other######prep_to####seems####digicam_brand
,,,i 've have n't heard about a diagnos or fix for this .,dep####heard####i######aux####heard####'ve######aux####heard####have######neg####heard####n't######det####diagnos####a######prep_about####heard####diagnos######conj_or####heard####fix######prep_for####fix####this
shot,,,"in terms of the shots taken , this camera is insanely great !",prep_in####great####terms######det####shots####the######prep_of####terms####shots######partmod####shots####taken######det####camera####this######nsubj####great####camera######cop####great####is######advmod####great####insanely
"picture,learning curve",,,the pictures are fabulous and their is a ( short ) learning curve to it ; there are tons of features_i have n't even gotten to .,det####pictures####the######nsubj####fabulous####pictures######cop####fabulous####are######nsubj####curve####their######cop####curve####is######det####curve####a######dep####curve####short######nn####curve####learning######conj_and####fabulous####curve######prep_to####curve####it######expl####are####there######parataxis####fabulous####are######nsubj####are####tons######prep_of####tons####features_i######aux####gotten####have######neg####gotten####n't######advmod####gotten####even######rcmod####features_i####gotten######xcomp####gotten####to
,,,"in terms of the important accessories , i got myself an the extra litium_battery .",prep_in####got####terms######det####accessories####the######amod####accessories####important######prep_of####terms####accessories######nsubj####got####i######nsubj####litium_battery####myself######det####extra####an######predet####extra####an######det####extra####the######measure####litium_battery####extra######xcomp####got####litium_battery
,,,"based on my used , 1 full charge was enough for at least 255 shots .",poss####used####my######prep_based_on####enough####used######num####charge####1######amod####charge####full######nsubj####enough####charge######cop####enough####was######quantmod####255####at######dep####at####least######num####shots####255######prep_for####enough####shots
,,,i also got myself a 512mb viking compact flash ( enough for 255 shots at full 4mp resolution and max picture_quality ) and a used $ 250 3lb subnotebook with usb connection and tons of hard drive_space for long trips so i can verify what i 've taken and that subnotebook also saves me from having to buy extra compactflash .
,,,the compact flash is delicate and i hate to swap it in fear on the connetions ( camera and cf ) bending ( can lead to cf erros ) or losing it .,det####flash####the######amod####flash####compact######nsubj####delicate####flash######cop####delicate####is######nsubj####hate####i######xsubj####swap####i######conj_and####delicate####hate######aux####swap####to######xcomp####hate####swap######dobj####swap####it######prep_in####swap####fear######det####connetions####the######prep_on####swap####connetions######dep####connetions####camera######dep####connetions####cf######conj_and####camera####cf######dep####connetions####bending######aux####lead####can######parataxis####bending####lead######parataxis####losing####lead######nn####erros####cf######prep_to####lead####erros######dep####connetions####losing######conj_or####bending####losing######dobj####losing####it
,,,"anyways , canon has improved upon the g2 with this g3 .",advmod####improved####anyways######nsubj####improved####canon######aux####improved####has######det####g2####the######prep_upon####improved####g2######det####g3####this######prep_with####g2####g3
,,,it 's a winner .,nsubj####winner####it######cop####winner####'s######det####winner####a
picture quality,,,"i 've been pleased with the picture_quality and durability in snow , car , boat and wind .",nsubjpass####pleased####i######aux####pleased####'ve######auxpass####pleased####been######det####picture_quality####the######prep_with####pleased####picture_quality######prep_with####pleased####durability######conj_and####picture_quality####durability######prep_in####picture_quality####snow######prep_in####picture_quality####car######conj_and####snow####car######prep_in####picture_quality####boat######conj_and####snow####boat######prep_in####picture_quality####wind######conj_and####snow####wind
,,,my only suggestion is to get a lens protector to help protect the shooting_lens ( the lens_coating will wear out after so many clean wipes ) and i 'm getting the those ( 52 mm_adapter and uv lens_filter ) at lensmateonline.com .,poss####suggestion####my######amod####suggestion####only######nsubj####is####suggestion######xsubj####get####suggestion######aux####get####to######xcomp####is####get######det####protector####a######nn####protector####lens######dobj####get####protector######aux####help####to######xcomp####get####help######xcomp####help####protect######det####shooting_lens####the######dobj####protect####shooting_lens######det####lens_coating####the######nsubj####wear####lens_coating######aux####wear####will######dep####is####wear######prt####wear####out######advmod####many####so######amod####wipes####many######amod####wipes####clean######prep_after####wear####wipes######nsubj####getting####i######aux####getting####'m######conj_and####is####getting######det####lensmateonline.com####the######measure####at####those######num####mm_adapter####52######dep####those####mm_adapter######nn####lens_filter####uv######dep####those####lens_filter######conj_and####mm_adapter####lens_filter######advmod####lensmateonline.com####at######dobj####getting####lensmateonline.com
,,,they got the best lens_adapter for the g3-better than canon 's .,nsubj####got####they######det####lens_adapter####the######amod####lens_adapter####best######dobj####got####lens_adapter######det####g3-better####the######prep_for####got####g3-better######prep_than####got####canon
,,,that 's what i did and hopes this helps .,nsubj####'s####that######dobj####did####what######nsubj####did####i######nsubj####hopes####i######ccomp####'s####did######ccomp####'s####hopes######conj_and####did####hopes######nsubj####helps####this######ccomp####hopes####helps
camera,,,the camera 's a work of art_/ science -- that 's understood .,det####camera####the######nsubj####work####camera######cop####work####'s######det####work####a######nn####science####art######nn####science####_######amod####science####\/######prep_of####work####science######nsubjpass####understood####that######auxpass####understood####'s######parataxis####work####understood
picture,feel,,"it takes great pictures , operates quickly , and feels solid .",nsubj####takes####it######nsubj####operates####it######nsubj####feels####it######amod####pictures####great######dobj####takes####pictures######conj_and####takes####operates######advmod####operates####quickly######conj_and####takes####feels######acomp####feels####solid
viewfinder,,,"to address two previous somewhat negative reviews : ( 1 ) yes , the lens_barrel does obstruct part of the lower left corner in the lens viewfinder ; however , the lcd_viewfinder is rather stunning and i find myself rarely using the lens viewfinder .",aux####address####to######num####reviews####two######amod####reviews####previous######advmod####negative####somewhat######amod####reviews####negative######dobj####address####reviews######dep####does####1######nsubj####does####yes######det####lens_barrel####the######appos####yes####lens_barrel######parataxis####address####does######amod####part####obstruct######dobj####does####part######det####corner####the######dep####left####lower######amod####corner####left######prep_of####part####corner######det####viewfinder####the######nn####viewfinder####lens######prep_in####corner####viewfinder######advmod####stunning####however######det####lcd_viewfinder####the######nsubj####stunning####lcd_viewfinder######nsubj####find####lcd_viewfinder######cop####stunning####is######advmod####stunning####rather######parataxis####address####stunning######dep####find####i######parataxis####address####find######conj_and####stunning####find######dobj####find####myself######advmod####using####rarely######xcomp####find####using######det####viewfinder####the######nn####viewfinder####lens######dobj####using####viewfinder
,,,"( 2 ) there are , actually , several differences between the g2 and g3 , such as differences in continuous shooting , the optical lens , the control_layout , playback_zoom , image_processing , and so on .",dep####are####2######expl####are####there######advmod####are####actually######amod####differences####several######nsubj####are####differences######det####g2####the######prep_between####differences####g2######prep_between####differences####g3######conj_and####g2####g3######prep_such_as####g2####differences######amod####shooting####continuous######prep_in####differences####shooting######det####lens####the######amod####lens####optical######prep_between####differences####lens######conj_and####g2####lens######det####control_layout####the######prep_between####differences####control_layout######conj_and####g2####control_layout######prep_between####differences####playback_zoom######conj_and####g2####playback_zoom######prep_between####differences####image_processing######conj_and####g2####image_processing######prep_between####differences####so######conj_and####g2####so######prep_between####differences####on######conj_and####g2####on
,,,"you see , i can 't rank the product since the merchant that amazon is collaborating with ( j and r_camera . ) to bring us consumers better choices never sent me the product .",aux####bring####to######dep####sent####bring######iobj####bring####us######dobj####bring####consumers######amod####choices####better######nsubj####sent####choices######neg####sent####never######iobj####sent####me######det####product####the######dobj####sent####product
,,,"although you may think you 're dealing with amazon , you 're dealing with some second rate_store that you 've never heard of .",mark####think####although######nsubj####think####you######aux####think####may######advcl####dealing####think######nsubj####dealing####you######aux####dealing####'re######ccomp####think####dealing######prep_with####dealing####amazon######nsubj####dealing####you######aux####dealing####'re######det####rate_store####some######amod####rate_store####second######prep_with####dealing####rate_store######complm####heard####that######nsubj####heard####you######aux####heard####'ve######neg####heard####never######ccomp####dealing####heard######prep####heard####of
,,,"after charging my card for the camera and for expedited shipping , 5 business_days later , they still had n't shipped the product .",prepc_after####shipped####charging######poss####card####my######dobj####charging####card######det####camera####the######prep_for####charging####camera######amod####shipping####expedited######prep_for####charging####shipping######conj_and####camera####shipping######num####business_days####5######dep####later####business_days######advmod####shipped####later######nsubj####shipped####they######advmod####shipped####still######aux####shipped####had######neg####shipped####n't######det####product####the######dobj####shipped####product
,,,i called them twice and both times they said it is `` about to ship `` .,nsubj####called####i######dep####said####them######advmod####said####twice######nsubj####said####and######det####times####both######nsubj####said####times######nsubj####said####they######dep####called####said######nsubj####about####it######cop####about####is######ccomp####said####about######aux####ship####to######xcomp####about####ship
,,,"one of the calls was on a saturday and when i pressed the guy a bit , he said , `` actually we do n't ship on saturdays `` .",nsubj####was####one######det####calls####the######prep_of####one####calls######dep####was####on######det####Saturday####a######pobj####on####Saturday######advmod####pressed####when######nsubj####pressed####i######dep####was####pressed######conj_and####on####pressed######det####guy####the######nsubj####bit####guy######det####bit####a######xcomp####pressed####bit######nsubj####said####he######dep####bit####said######advmod####ship####actually######nsubj####ship####we######aux####ship####do######neg####ship####n't######ccomp####said####ship######prep_on####ship####saturdays
,,,so why lie about it ?,cc####lie####so######advmod####lie####why######prep_about####lie####it
,,,so i finally gave them a deadline which they said they could meet .,cc####gave####so######nsubj####gave####i######advmod####gave####finally######iobj####gave####them######det####deadline####a######dobj####gave####deadline######dobj####meet####deadline######rel####said####which######nsubj####said####they######rcmod####deadline####said######nsubj####meet####they######aux####meet####could######ccomp####said####meet
,,,"although they accepted that they will ship on mon - 6 jan , they still did n't ship it .",mark####accepted####although######nsubj####accepted####they######advcl####ship####accepted######complm####ship####that######nsubj####ship####they######aux####ship####will######ccomp####accepted####ship######prep_on####ship####mon######num####jan####6######dep####mon####jan######nsubj####ship####they######advmod####ship####still######aux####ship####did######neg####ship####n't######dobj####ship####it
,,,"they said it is in stock , but they are `` too busy `` .",nsubj####said####they######nsubj####is####it######ccomp####said####is######prep####is####in######dep####is####stock######advmod####busy####but######nsubj####busy####they######cop####busy####are######advmod####busy####too######dep####stock####busy
,,,"they were n't busy enough to charge the credit_card , though !",nsubj####busy####they######cop####busy####were######neg####busy####n't######advmod####busy####enough######aux####charge####to######xcomp####busy####charge######det####credit_card####the######dobj####charge####credit_card######advmod####charge####though
,,,"although i tried contacting amazon to see if they can do anything , the replies i got were inept as if they had n't taken time to read the complaint .",mark####tried####although######nsubj####tried####i######advcl####got####tried######xcomp####tried####contacting######dobj####contacting####amazon######aux####see####to######xcomp####contacting####see######mark####do####if######nsubj####do####they######aux####do####can######advcl####see####do######dobj####do####anything######det####i####the######amod####i####replies######nsubj####got####i######cop####inept####were######ccomp####got####inept######advmod####taken####as######dep####taken####if######nsubj####taken####they######aux####taken####had######neg####taken####n't######ccomp####inept####taken######dobj####taken####time######aux####read####to######xcomp####taken####read######det####complaint####the######dobj####read####complaint
,,,i cancelled the order .,nsubj####canceled####i######det####order####the######dobj####canceled####order
,,,hope to get my refund in a timely manner .,aux####get####to######xcomp####hope####get######poss####refund####my######dobj####get####refund######det####manner####a######amod####manner####timely######prep_in####get####manner
,,,"thanks for nothing , amazon !",prep_for####thanks####nothing######appos####nothing####amazon
design,,,this camera has a major design_flaw .,det####camera####this######nsubj####has####camera######det####design_flaw####a######amod####design_flaw####major######dobj####has####design_flaw
viewfinder,,,when you look through the viewfinder ( not the lcd ) the bottom left corner of the picture ( about 15 % ) is blocked by the lens .,advmod####look####when######nsubj####look####you######csubjpass####blocked####look######det####viewfinder####the######prep_through####look####viewfinder######dep####lcd####not######det####lcd####the######appos####viewfinder####lcd######det####corner####the######amod####corner####bottom######amod####corner####left######dobj####look####corner######det####picture####the######prep_of####corner####picture######quantmod####15####about######num####%####15######dep####look####%######auxpass####blocked####is######det####lens####the######agent####blocked####lens
,,,i called the canon technical service_center to see if i had a defective camera .,nsubj####called####i######det####service_center####the######amod####service_center####canon######amod####service_center####technical######dobj####called####service_center######aux####see####to######xcomp####called####see######mark####had####if######nsubj####had####i######advcl####see####had######det####camera####a######amod####camera####defective######dobj####had####camera
,,,"after about a minute of trying to tell me that most people use the lcd and not the view_finder , they finally admitted , it was a design_flaw in the camera .",advmod####minute####about######det####minute####a######prep_after####admitted####minute######prepc_of####minute####trying######aux####tell####to######xcomp####trying####tell######dobj####tell####me######complm####use####that######amod####people####most######nsubj####use####people######ccomp####tell####use######det####lcd####the######dobj####use####lcd######dobj####use####not######conj_and####lcd####not######neg####lcd####not######det####view_finder####the######dep####lcd####view_finder######nsubj####admitted####they######advmod####admitted####finally######ccomp####design_flaw####admitted######nsubj####design_flaw####it######cop####design_flaw####was######det####design_flaw####a######det####camera####the######prep_in####design_flaw####camera
camera,,,everything else about the camera is great .,nsubj####great####everything######advmod####everything####else######det####camera####the######prep_about####everything####camera######cop####great####is
camera,,,"if you strictly use the lcd and not the view_finder , i highly recommend the camera .",mark####use####if######nsubj####use####you######advmod####use####strictly######advcl####recommend####use######det####lcd####the######dobj####use####lcd######dobj####use####not######conj_and####lcd####not######neg####lcd####not######det####view_finder####the######dep####lcd####view_finder######nsubj####recommend####i######advmod####recommend####highly######det####camera####the######dobj####recommend####camera
,,,"however for me , i occasionally use the view_finder and trying to frame in a picture with the lens blocking the view is too much .",dep####for####however######dep####use####for######pobj####for####me######nsubj####use####i######advmod####use####occasionally######det####view_finder####the######dobj####use####view_finder######csubj####much####trying######aux####frame####to######xcomp####trying####frame######det####picture####a######prep_in####frame####picture######det####lens####the######prep_with####frame####lens######partmod####lens####blocking######det####view####the######dobj####blocking####view######cop####much####is######advmod####much####too######conj_and####use####much
,,,i 'm sending mine back and am waiting for the problem to be corrected .,nsubj####sending####i######nsubj####waiting####i######xsubj####corrected####i######aux####sending####'m######dobj####sending####mine######advmod####sending####back######aux####waiting####am######conj_and####sending####waiting######det####problem####the######prep_for####waiting####problem######aux####corrected####to######auxpass####corrected####be######xcomp####waiting####corrected
,,,"i 've been using a powershot s330 for nearly a year , and wanted to upgrade to a 4 or 5 megapixel_camera with a longer zoom , more adjustability , a hot shoe for an external flash , and a remote control .",nsubj####using####i######nsubj####wanted####i######xsubj####upgrade####i######aux####using####'ve######aux####using####been######det####s330####a######amod####s330####powershot######dobj####using####s330######advmod####year####nearly######det####year####a######prep_for####s330####year######conj_and####using####wanted######aux####upgrade####to######xcomp####wanted####upgrade######dep####4####a######prep_to####upgrade####4######prep_to####upgrade####5######conj_or####4####5######dobj####upgrade####megapixel_camera######det####zoom####a######amod####zoom####longer######prep_with####megapixel_camera####zoom######amod####adjustability####more######prep_with####megapixel_camera####adjustability######conj_and####zoom####adjustability######det####shoe####a######amod####shoe####hot######prep_with####megapixel_camera####shoe######conj_and####zoom####shoe######det####flash####an######amod####flash####external######prep_for####shoe####flash######det####control####a######amod####control####remote######prep_with####megapixel_camera####control######conj_and####zoom####control
,,,"i looked at both the nikon_coolpix 5700 and the canon_g3 , and decided on the g3 due both to ergonomics ( much more comfortable to hold and use ) and the price .",nsubj####looked####i######nsubj####decided####i######preconj####5700####both######det####5700####the######amod####5700####nikon_coolpix######prep_at####looked####5700######det####canon_g3####the######prep_at####looked####canon_g3######conj_and####5700####canon_g3######conj_and####looked####decided######det####g3####the######prep_on####decided####g3######amod####g3####due######dep####due####both######prep_to####due####ergonomics######advmod####comfortable####much######advmod####comfortable####more######dep####ergonomics####comfortable######prep_to####comfortable####hold######prep_to####comfortable####use######conj_and####hold####use######det####price####the######prep_to####due####price######conj_and####ergonomics####price
,,,i 've had the camera for about two weeks and shot hundreds of pictures so far .,nsubj####had####i######nsubj####shot####i######aux####had####'ve######det####camera####the######dobj####had####camera######quantmod####two####about######num####weeks####two######prep_for####camera####weeks######conj_and####had####shot######dobj####shot####hundreds######prep_of####hundreds####pictures######advmod####far####so######advmod####shot####far
,camera,,"and so far , i 've been very pleased .",cc####so####and######measure####far####so######ccomp####pleased####far######nsubj####pleased####i######aux####pleased####'ve######cop####pleased####been######advmod####pleased####very
,,,"there 's a noticeable difference in the quality of a 4 megapixel_image versus the 2 megapixels of the s330 , especially if you want to crop and enlarge the pictures .",expl####'s####there######det####difference####a######amod####difference####noticeable######nsubj####'s####difference######det####quality####the######prep_in####difference####quality######det####megapixel_image####a######num####megapixel_image####4######prep_of####quality####megapixel_image######det####megapixels####the######num####megapixels####2######nsubj####'s####megapixels######conj_versus####difference####megapixels######det####s330####the######prep_of####megapixels####s330######advmod####want####especially######dep####want####if######nsubj####want####you######xsubj####crop####you######dep####'s####want######aux####crop####to######xcomp####want####crop######xcomp####want####enlarge######conj_and####crop####enlarge######det####pictures####the######dobj####crop####pictures
"lens,optical zoom",,,"the larger lens of the g3 gives better picture_quality in low light , and the 4-times optical zooms gets you just that much closer .",det####lens####the######amod####lens####larger######nsubj####gives####lens######det####g3####the######prep_of####lens####g3######amod####picture_quality####better######dobj####gives####picture_quality######amod####light####low######prep_in####gives####light######det####zooms####the######amod####zooms####4-times######amod####zooms####optical######nsubj####gets####zooms######conj_and####gives####gets######dep####closer####you######advmod####closer####just######dep####much####that######measure####closer####much######dep####gets####closer
lcd,,,the moveable lcd_screen is great .,det####lcd_screen####the######amod####lcd_screen####moveable######nsubj####great####lcd_screen######cop####great####is
,,,"you can take pictures with the camera held above your head , way down , or beside you with no problem , allowing you to position the camera for the best shot without contorting yourself .",nsubj####take####you######nsubj####take####you######aux####take####can######conj_or####take####take######dobj####take####pictures######det####camera####the######prep_with####take####camera######amod####camera####held######poss####head####your######prep_above####held####head######dep####down####way######advmod####held####down######prep_beside####take####you######det####problem####no######prep_with####you####problem######partmod####you####allowing######nsubj####position####you######aux####position####to######xcomp####allowing####position######det####camera####the######dobj####position####camera######det####shot####the######amod####shot####best######prep_for####camera####shot######prepc_without####position####contorting######dobj####contorting####yourself
remote,,,"the tiny ( postage-stamp sized ) remote unit is wonderful : not only does it trigger the shutter , it can also be used to zoom and review pictures .",det####unit####the######amod####unit####tiny######amod####sized####postage-stamp######dep####tiny####sized######amod####unit####remote######nsubj####wonderful####unit######cop####wonderful####is######dep####trigger####not######dep####not####only######aux####trigger####does######nsubj####trigger####it######dep####used####trigger######det####shutter####the######dobj####trigger####shutter######nsubjpass####used####it######aux####used####can######advmod####used####also######auxpass####used####be######parataxis####wonderful####used######aux####zoom####to######purpcl####used####zoom######purpcl####used####review######conj_and####zoom####review######dobj####zoom####pictures
