id3,,,"2 ) music_organization is based on id3 ( by genre , artist , album , etc. ) and this can be a problem for older downloaded music_files with missing or incorrect id3 information .",dep####based####2######nsubjpass####based####music_organization######auxpass####based####is######prep_on####based####id3######dep####based####by######nn####album####genre######dep####album####artist######pobj####by####album######dep####album####etc.######nsubj####problem####this######aux####problem####can######cop####problem####be######det####problem####a######conj_and####based####problem######amod####music_files####older######amod####music_files####downloaded######prep_for####problem####music_files######amod####information####missing######conj_or####missing####incorrect######amod####information####incorrect######amod####information####id3######prep_with####music_files####information
,,,this was not a problem for me as most of my collection was ripped from my own cds and i updated the id3_tags on my downloaded music .,nsubj####problem####this######cop####problem####was######neg####problem####not######det####problem####a######prep_for####problem####me######mark####ripped####as######nsubjpass####ripped####most######poss####collection####my######prep_of####most####collection######auxpass####ripped####was######advcl####problem####ripped######poss####cds####my######amod####cds####own######prep_from####ripped####cds######nsubj####updated####i######advcl####problem####updated######conj_and####ripped####updated######det####id3_tags####the######dobj####updated####id3_tags######poss####music####my######amod####music####downloaded######prep_on####id3_tags####music
folder,,,3 ) folders can not be created for the audio files .,dep####created####3######nsubjpass####created####folders######aux####created####can######neg####created####not######auxpass####created####be######det####files####the######amod####files####audio######prep_for####created####files
,,,this is unnecessary with id3 tags but people who like to organize their music in folders will not like the zen as the audio_files do not allow subfolders but rely on id3_tags .,nsubj####unnecessary####this######cop####unnecessary####is######amod####tags####id3######prep_with####unnecessary####tags######nsubj####like####people######nsubj####like####people######nsubj####rely####people######rcmod####people####like######aux####organize####to######xcomp####like####organize######poss####music####their######dobj####organize####music######prep_in####organize####folders######aux####like####will######neg####like####not######conj_but####unnecessary####like######det####zen####the######dobj####like####zen######mark####allow####as######det####audio_files####the######nsubj####allow####audio_files######aux####allow####do######neg####allow####not######advcl####like####allow######dobj####allow####subfolders######conj_but####unnecessary####rely######conj_but####like####rely######prep_on####rely####id3_tags
,,,the workaround is to update id3_tags on your files ( through mediasource ) but it can be a hassle if you have many such music_files .,det####workaround####the######nsubj####is####workaround######xsubj####update####workaround######aux####update####to######xcomp####is####update######dobj####update####id3_tags######poss####files####your######prep_on####update####files######dep####update####through######pobj####through####mediasource######nsubj####hassle####it######aux####hassle####can######cop####hassle####be######det####hassle####a######conj_but####is####hassle######mark####have####if######nsubj####have####you######advcl####hassle####have######amod####music_files####many######amod####music_files####such######dobj####have####music_files
"fm,voice recording",,,4 ) no fm or voice recording - these would have been nice extras .,dep####recording####4######det####recording####no######nn####recording####fm######conj_or####fm####voice######nn####recording####voice######nsubj####extras####these######aux####extras####would######aux####extras####have######cop####extras####been######amod####extras####nice######parataxis####recording####extras
accessory,,,5 ) lack of good accessories - this is more of an oversight of creative 's marketing .,num####lack####5######dep####more####lack######amod####accessories####good######prep_of####lack####accessories######nsubj####more####this######cop####more####is######det####oversight####an######prep_of####more####oversight######poss####marketing####creative######prep_of####oversight####marketing
,,,"both creative and third-party powered speakers work great , as do third-party wireless_transmitters .",det####creative####both######nsubj####work####creative######amod####speakers####third-party######amod####speakers####powered######conj_and####creative####speakers######nsubj####work####speakers######acomp####work####great######mark####do####as######advcl####work####do######amod####wireless_transmitters####third-party######dobj####do####wireless_transmitters
,,,a dock is unnecessary as the charger and usb cable do the necessary .,det####dock####a######nsubj####unnecessary####dock######cop####unnecessary####is######mark####do####as######det####cable####the######nn####cable####charger######conj_and####charger####usb######nn####cable####usb######nsubj####do####cable######advcl####unnecessary####do######det####necessary####the######dobj####do####necessary
case,,,6 ) the case occludes the display_screen when it is closed .,dep####occludes####6######det####case####the######nsubj####occludes####case######det####display_screen####the######dobj####occludes####display_screen######advmod####closed####when######rel####closed####when######nsubj####closed####it######cop####closed####is######dep####display_screen####closed
,,,i would have liked to be able to see what is playing without having to open the case .,nsubj####liked####i######xsubj####able####i######aux####liked####would######aux####liked####have######aux####able####to######cop####able####be######xcomp####liked####able######aux####see####to######xcomp####able####see######nsubj####playing####what######aux####playing####is######ccomp####see####playing######prepc_without####playing####having######aux####open####to######xcomp####having####open######det####case####the######dobj####open####case
flip switch,,,7 ) some people have problems with the flip_switch on the bottom that releases the player_cover - has not been an issue for me and is immaterial if you use the case as the case covers the switch .,dep####have####7######det####people####some######nsubj####have####people######nsubj####immaterial####people######dobj####have####problems######dep####have####with######det####flip_switch####the######pobj####with####flip_switch######det####bottom####the######prep_on####flip_switch####bottom######nsubj####releases####bottom######rcmod####bottom####releases######det####player_cover####the######dobj####releases####player_cover######aux####issue####has######neg####issue####not######cop####issue####been######det####issue####an######dep####with####issue######prep_for####issue####me######cop####immaterial####is######conj_and####have####immaterial######mark####use####if######nsubj####use####you######ccomp####immaterial####use######det####case####the######dobj####use####case######mark####covers####as######det####case####the######nsubj####covers####case######advcl####use####covers######det####switch####the######dobj####covers####switch
,,,experience :
,,,once i got home with it i had to first install creative mediasource and figure out how it transferred files to the player .,mark####got####once######nsubj####got####i######advcl####had####got######dobj####got####home######prep_with####got####it######nsubj####had####i######xsubj####install####i######aux####install####to######advmod####install####first######xcomp####had####install######amod####mediasource####creative######dobj####install####mediasource######xcomp####had####figure######conj_and####install####figure######prt####figure####out######advmod####transferred####how######nsubj####transferred####it######ccomp####figure####transferred######dobj####transferred####files######det####player####the######prep_to####transferred####player
,,,this required patience as i was used to winxp detecting the player and dragging and dropping the music files into it ( which i could do with my flash_player ) .,det####patience####this######amod####patience####required######nsubjpass####used####patience######xsubj####winxp####patience######prep_as####patience####i######auxpass####used####was######aux####winxp####to######xcomp####used####winxp######dep####winxp####detecting######det####player####the######dobj####detecting####player######dep####winxp####dragging######conj_and####detecting####dragging######conj_and####detecting####dropping######conj_and####dragging####dropping######det####files####the######nn####files####music######dobj####dragging####files######prep_into####dragging####it######dobj####do####which######nsubj####do####i######aux####do####could######parataxis####winxp####do######poss####flash_player####my######prep_with####do####flash_player
,,,i did already have mediasource installed due to owning the creative audigy 2 soundcard but i did need to re-install it from the supplied cd as the older version did not have the connector to the zen .,nsubj####have####i######aux####have####did######advmod####have####already######amod####soundcard####mediasource######amod####soundcard####installed######prepc_due_to####soundcard####owning######det####audigy####the######amod####audigy####creative######dobj####owning####audigy######num####soundcard####2######dobj####have####soundcard######nsubj####did####i######conj_but####have####did######ccomp####did####need######aux####re-install####to######xcomp####need####re-install######dobj####re-install####it######det####cd####the######amod####cd####supplied######prep_from####re-install####cd######mark####have####as######det####version####the######amod####version####older######nsubj####have####version######aux####have####did######neg####have####not######advcl####re-install####have######det####connector####the######dobj####have####connector######det####zen####the######prep_to####connector####zen
,,,"also , i downloaded the latest firmware_upgrade and software_updates .",advmod####downloaded####also######nsubj####downloaded####i######nsubj####software_updates####i######det####firmware_upgrade####the######amod####firmware_upgrade####latest######dobj####downloaded####firmware_upgrade######conj_and####downloaded####software_updates
,,,recommendations :
,,,1 ) buy an extended coverage if offered by the retailer as this device has moving parts and is essentially a portable hard-drive .,dep####buy####1######det####coverage####an######amod####coverage####extended######dobj####buy####coverage######mark####offered####if######advcl####buy####offered######det####retailer####the######prep_by####offered####retailer######mark####has####as######det####device####this######nsubj####has####device######advcl####offered####has######amod####parts####moving######dobj####has####parts######cop####hard-drive####is######advmod####hard-drive####essentially######det####hard-drive####a######amod####hard-drive####portable######advcl####offered####hard-drive######conj_and####has####hard-drive
,,,2 ) buy a good pair of head-phones unless you already own one .,dep####buy####2######det####pair####a######amod####pair####good######dobj####buy####pair######prep_of####pair####head-phones######mark####own####unless######nsubj####own####you######advmod####own####already######advcl####buy####own######dobj####own####one
,,,3 ) use_files with id3_tags - not a problem if your cds were ripped within the last year .,dep####use_files####3######prep_with####use_files####id3_tags######neg####problem####not######det####problem####a######dep####use_files####problem######mark####ripped####if######poss####cds####your######nsubjpass####ripped####cds######auxpass####ripped####were######dep####problem####ripped######det####year####the######amod####year####last######prep_within####ripped####year
,,,"4 ) a set of speakers and a wireless_transmitter are accessories that will add to your player 's usability ( the latter will allow you to play it on your car_radio , home_receiver , etc. )",dep####set####4######det####set####a######prep_of####set####speakers######det####wireless_transmitter####a######prep_of####set####wireless_transmitter######conj_and####speakers####wireless_transmitter######cop####accessories####are######rcmod####wireless_transmitter####accessories######nsubj####add####accessories######aux####add####will######rcmod####accessories####add######poss####player####your######poss####usability####player######prep_to####add####usability######det####latter####the######nsubj####allow####latter######aux####allow####will######dep####set####allow######nsubj####play####you######aux####play####to######xcomp####allow####play######dobj####play####it######poss####home_receiver####your######amod####home_receiver####car_radio######prep_on####play####home_receiver######dep####home_receiver####etc.
,,,5 ) handle the player with care - it is not meant to be dropped .,dep####handle####5######det####player####the######dobj####handle####player######prep_with####handle####care######nsubjpass####meant####it######xsubj####dropped####it######auxpass####meant####is######neg####meant####not######parataxis####handle####meant######aux####dropped####to######auxpass####dropped####be######xcomp####meant####dropped
,,,"resources : http : //www.nomadworld.com , http : //www.nomadness.net",dep####resources####http######amod####www.nomadworld.com####\/######amod####www.nomadworld.com####\/######dep####http####www.nomadworld.com######appos####www.nomadworld.com####http######dep####resources####\/######amod####www.nomadness.net####\/######dobj####\/####www.nomadness.net
,,,pros summary :,amod####summary####pros
"sound,interface,battery,software, wake up,play mode",,,"great sound ; good interface ; replaceable , powerful battery ; good software ; wake-up , sleep timers ; multiple play_modes",amod####sound####great######amod####interface####good######dep####battery####interface######amod####battery####replaceable######dep####replaceable####powerful######dep####sound####battery######amod####software####good######dep####play_modes####software######dep####software####wake-up######nn####timers####sleep######appos####wake-up####timers######amod####play_modes####multiple######parataxis####battery####play_modes
,,,cons_summary :
"plug and play,id3,fm,recording",,,not plug & play ; relies on id3 ; no fm or recording,nsubj####relies####plug######conj_and####plug####play######nsubj####relies####play######prep_on####relies####id3######det####fm####no######dep####id3####fm######dep####id3####recording######conj_or####fm####recording
,,,bottom-line :
,storage,,can 't beat carrying 500-cd collection with me wherever i go .,poss####t####can######nsubj####beat####t######xcomp####beat####carrying######amod####collection####500-cd######dobj####carrying####collection######prep_with####carrying####me######advmod####go####wherever######nsubj####go####i######advcl####beat####go
,,,my favorite is to play `` any track `` - am rediscovering my music !,poss####favorite####my######nsubj####is####favorite######xsubj####play####favorite######aux####play####to######xcomp####is####play######det####track####any######dobj####play####track######aux####rediscovering####am######rcmod####track####rediscovering######poss####music####my######dobj####rediscovering####music
wake up,,,also love waking up to music with attached speakers .,advmod####love####also######xcomp####love####waking######prt####waking####up######prep_to####waking####music######amod####speakers####attached######prep_with####waking####speakers
,,,i got the 40gb jukebox_zen xtra for christmas .,nsubj####got####i######det####xtra####the######amod####xtra####40gb######nn####xtra####jukebox_zen######dobj####got####xtra######prep_for####got####christmas
headphone jack,,,"so , i 've had it for a month , and the headphone_jack went out .",advmod####had####so######nsubj####had####i######aux####had####'ve######dobj####had####it######det####month####a######prep_for####had####month######det####headphone_jack####the######nsubj####went####headphone_jack######conj_and####had####went######prt####went####out
,,,i called creative and they said to send it in and they would decide if it in warranty .,nsubj####called####i######acomp####called####creative######nsubj####said####they######xsubj####send####they######conj_and####called####said######aux####send####to######xcomp####said####send######dobj####send####it######prt####send####in######nsubj####decide####they######aux####decide####would######conj_and####called####decide######conj_and####said####decide######mark####it####if######advcl####decide####it######dep####it####in######pobj####in####warranty
,,,it 'll take 10-15 business_days for them to decide form when they get it .,nsubj####take####it######aux####take####'ll######num####business_days####10-15######dobj####take####business_days######prep_for####business_days####them######aux####decide####to######xcomp####take####decide######dobj####decide####form######advmod####get####when######nsubj####get####they######advcl####decide####get######dobj####get####it
,,creative,nothing but hassle with this company .,prep####nothing####but######dep####but####hassle######det####company####this######prep_with####nothing####company
,,,what kind of product goes out within a month ?,det####kind####what######nsubj####goes####kind######prep_of####kind####product######prt####goes####out######det####month####a######prep_within####goes####month
,,,this thing does its job .,det####thing####this######nsubj####does####thing######poss####job####its######dobj####does####job
,,,i 've compared and compared and compared .,nsubj####compared####i######nsubj####compared####i######aux####compared####'ve######conj_and####compared####compared######conj_and####compared####compared######conj_and####compared####compared
,,,it was either the 40gb ipod or this one .,nsubj####ipod####it######cop####ipod####was######dep####ipod####either######det####ipod####the######amod####ipod####40gb######det####one####this######conj_or####ipod####one
shuffle,,,i felt better with this one since it had the shuffle feature and i 'm not too keen on www.ipodsdirtysecret.com .,nsubj####felt####i######advmod####felt####better######det####one####this######prep_with####felt####one######mark####had####since######nsubj####had####it######advcl####felt####had######det####feature####the######nn####feature####shuffle######dobj####had####feature######nsubj####keen####i######cop####keen####'m######neg####keen####not######advmod####keen####too######conj_and####felt####keen######prep_on####keen####www.ipodsdirtysecret.com
,,,the longest that i have n't charged it was maybe 3 days and that 's turning it off every now and then .,det####longest####the######nsubj####days####longest######complm####charged####that######nsubj####charged####i######aux####charged####have######neg####charged####n't######dep####longest####charged######dobj####charged####it######cop####days####was######advmod####days####maybe######num####days####3######nsubj####turning####that######aux####turning####'s######conj_and####days####turning######rcmod####days####turning######dobj####turning####it######advmod####turning####off######dep####off####every######advmod####turning####now######advmod####turning####then######conj_and####now####then
battery,,,replacement_battery is $ 50 compared to ipod 's $ 150 .,nsubj####$####replacement_battery######cop####$####is######num####$####50######prep_compared_to####$####ipod######dep####ipod####$######num####ipod####150
,,,cons :
cover,,,the only thing_i do n't like about this is the cover does suck .,det####thing_i####the######amod####thing_i####only######nsubj####like####thing_i######aux####like####do######neg####like####n't######mark####cover####about######nsubj####cover####this######cop####cover####is######det####cover####the######advcl####like####cover######rcmod####cover####does######dobj####does####suck
,,,"i dropped it from the couch , landed on carpet and the cover and battery flew out .",nsubj####dropped####i######dobj####dropped####it######det####couch####the######prep_from####dropped####couch######partmod####couch####landed######prep_on####landed####carpet######det####cover####the######nsubj####flew####cover######conj_and####cover####battery######nsubj####flew####battery######conj_and####dropped####flew######prt####flew####out
,weight,,"it 's kinda heavy , kinda like having a walkman .",nsubj####heavy####it######cop####heavy####'s######nn####heavy####kinda######appos####heavy####kinda######prepc_like####kinda####having######det####walkman####a######dobj####having####walkman
headphone,,,"headphones suck , i would invest in some cool ones since it has the eax feature .",nsubj####suck####headphones######ccomp####invest####suck######nsubj####invest####i######aux####invest####would######det####ones####some######amod####ones####cool######prep_in####invest####ones######mark####has####since######nsubj####has####it######advcl####invest####has######det####feature####the######nn####feature####eax######dobj####has####feature
software,,,the software sucks .,det####software####the######nsubj####sucks####software
,,,it overrides songs so you have to go in there and put it your own titles especially if you have remixes .,nsubj####overrides####it######dobj####overrides####songs######mark####have####so######nsubj####have####you######xsubj####go####you######advcl####overrides####have######aux####go####to######xcomp####have####go######prep####go####in######pobj####in####there######xcomp####have####put######conj_and####go####put######nsubj####remixes####it######poss####titles####your######amod####titles####own######dep####remixes####titles######advmod####remixes####especially######dep####remixes####if######nsubj####remixes####you######aux####remixes####have######xcomp####put####remixes
feature,,,also the feature to automatically put in the song_information is n't always accurate .,advmod####accurate####also######det####feature####the######nsubj####accurate####feature######aux####put####to######advmod####put####automatically######infmod####feature####put######det####song_information####the######prep_in####put####song_information######cop####accurate####is######neg####accurate####n't######advmod####accurate####always
,,,"you discover this later when you 're listening to a song and it 's the wrong title , causing you to rename everything on your own .",nsubj####discover####you######dep####later####this######advmod####discover####later######advmod####listening####when######nsubj####listening####you######aux####listening####'re######advcl####discover####listening######det####song####a######prep_to####listening####song######nsubj####title####it######cop####title####'s######det####title####the######amod####title####wrong######conj_and####discover####title######xcomp####title####causing######nsubj####rename####you######aux####rename####to######xcomp####causing####rename######dobj####rename####everything######poss####own####your######prep_on####rename####own
,,,i was prepared to love it .,nsubjpass####prepared####i######xsubj####love####i######auxpass####prepared####was######aux####love####to######xcomp####prepared####love######dobj####love####it
headphone jack,,,"i 've had this thing for less than a month , treated it quite well , never dropped it , and the headphone_jack is all screwed up .",nsubj####had####i######aux####had####'ve######det####thing####this######dobj####had####thing######dep####than####less######quantmod####a####than######prep_for####thing####a######tmod####had####month######dep####had####treated######dobj####treated####it######advmod####well####quite######advmod####treated####well######neg####dropped####never######dep####had####dropped######dobj####dropped####it######det####headphone_jack####the######nsubjpass####screwed####headphone_jack######auxpass####screwed####is######advmod####screwed####all######conj_and####had####screwed######prt####screwed####up
,,,now i have to return it and rip all my music again .,advmod####have####now######nsubj####have####i######xsubj####return####i######aux####return####to######xcomp####have####return######dobj####return####it######xcomp####have####rip######conj_and####return####rip######predet####music####all######poss####music####my######dobj####rip####music######advmod####rip####again
,,,good thing_i got a replacement_plan .,amod####thing_i####good######nsubj####got####thing_i######det####replacement_plan####a######dobj####got####replacement_plan
,,,wish it included somebody to re-rip all the songs .,nsubj####included####it######ccomp####wish####included######dobj####included####somebody######aux####re-rip####to######xcomp####included####re-rip######predet####songs####all######det####songs####the######dobj####re-rip####songs
,,,"reading other reviews , i do n't think the replacement one will be any better .",dep####think####reading######amod####reviews####other######dobj####reading####reviews######nsubj####think####i######aux####think####do######neg####think####n't######det####replacement####the######dobj####think####replacement######dobj####better####replacement######nsubj####better####one######aux####better####will######cop####better####be######advmod####better####any######rcmod####replacement####better
,,,i 'm not looking forward to ripping my entire collection every month or two .,nsubj####looking####i######xsubj####ripping####i######aux####looking####'m######neg####looking####not######advmod####looking####forward######aux####ripping####to######xcomp####looking####ripping######poss####collection####my######amod####collection####entire######dobj####ripping####collection######det####month####every######dep####collection####month######dobj####ripping####two######conj_or####collection####two
,,,maybe i 'll get lucky with the next one .,advmod####lucky####maybe######nsubj####lucky####i######aux####lucky####'ll######dep####lucky####get######det####one####the######amod####one####next######prep_with####lucky####one
wheel,"size,weight",,"kind of bulky and the wheel is awkward , but i can deal with that .",nsubj####awkward####kind######prep_of####kind####bulky######det####wheel####the######prep_of####kind####wheel######conj_and####bulky####wheel######cop####awkward####is######nsubj####deal####i######aux####deal####can######conj_but####awkward####deal######prep_with####deal####that
software,,,"software definitely sucks , hangs up my notebook about half the time , but i do n't mind buying notmad .",nsubj####sucks####software######advmod####sucks####definitely######dep####sucks####hangs######prt####hangs####up######poss####notebook####my######dobj####hangs####notebook######predet####time####half######det####time####the######prep_about####notebook####time######nsubj####mind####i######aux####mind####do######neg####mind####n't######conj_but####sucks####mind######nn####notmad####buying######dobj####mind####notmad
player,,,i am annoyed that the player 's not automatically recognized as a hard drive .,nsubjpass####annoyed####i######auxpass####annoyed####am######complm####recognized####that######det####player####the######nsubjpass####recognized####player######auxpass####recognized####'s######neg####recognized####not######advmod####recognized####automatically######ccomp####annoyed####recognized######det####drive####a######amod####drive####hard######prep_as####recognized####drive
,,,i do n't want to install software and drivers on every computer_i 'm ever at .,nsubj####want####i######xsubj####install####i######aux####want####do######neg####want####n't######aux####install####to######xcomp####want####install######dobj####install####software######nsubj####'m####drivers######det####computer_i####every######prep_on####drivers####computer_i######conj_and####want####'m######advmod####'m####ever######advmod####'m####at
,,,makes me use it much less than i otherwise would .,nsubj####use####me######ccomp####makes####use######nsubj####less####it######advmod####less####much######xcomp####use####less######mark####would####than######nsubj####would####i######advmod####would####otherwise######advcl####use####would
,,,"looking at the glowing reviews from people that have had this for a week or two , i kind of wish people would wait until they 've had a product a little while to review it .",dep####wait####looking######det####reviews####the######amod####reviews####glowing######prep_at####looking####reviews######prep_from####looking####people######nsubj####had####people######aux####had####have######rcmod####people####had######dobj####had####this######det####week####a######prep_for####this####week######prep_for####this####two######conj_or####week####two######amod####kind####i######nsubj####wait####kind######nn####people####wish######prep_of####kind####people######aux####wait####would######mark####had####until######nsubj####had####they######aux####had####'ve######advcl####wait####had######det####product####a######dobj####had####product######iobj####had####product######det####little####a######dobj####had####little######dep####product####little######mark####review####while######aux####review####to######advcl####had####review######xcomp####had####review######dobj####review####it
player,,,"i loved it until it broke , but less than a month is not an acceptible period of time for something to work .",nsubj####loved####i######dobj####loved####it######mark####broke####until######nsubj####broke####it######advcl####loved####broke######advmod####period####less######dep####less####than######det####month####a######pobj####than####month######cop####period####is######neg####period####not######det####period####an######amod####period####acceptible######advcl####loved####period######conj_but####broke####period######prep_of####period####time######prep_for####time####something######aux####work####to######infmod####period####work
"product, sound, use",,,"i loved this product when i first got it - great sound , easy to use ( even though i agree that the software was n't the best ) and held enough songs to suit any mood .",nsubj####loved####i######det####product####this######dobj####loved####product######advmod####got####when######rel####got####when######nsubj####got####i######advmod####got####first######dep####product####got######dobj####got####it######amod####sound####great######dep####product####sound######amod####sound####easy######aux####use####to######xcomp####easy####use######advmod####agree####even######dep####agree####though######nsubj####agree####i######parataxis####use####agree######complm####best####that######det####software####the######nsubj####best####software######cop####best####was######neg####best####n't######det####best####the######ccomp####agree####best######amod####sound####held######conj_and####easy####held######amod####songs####enough######dobj####held####songs######aux####suit####to######xcomp####held####suit######det####mood####any######dobj####suit####mood
durability,,,i was willing to live with the larger size ( inconvenient on the road ) but the durability was a big zero .,nsubj####willing####i######cop####willing####was######aux####live####to######xcomp####willing####live######det####size####the######amod####size####larger######prep_with####live####size######dep####size####inconvenient######det####road####the######prep_on####inconvenient####road######det####durability####the######nsubj####zero####durability######cop####zero####was######det####zero####a######amod####zero####big######conj_but####willing####zero
hard drive,,,always carried it in a case in by briefcase but one day the hard drive just zapped .,advmod####carried####always######dobj####carried####it######det####case####a######prep_in####carried####case######dep####carried####in######prep_by####carried####briefcase######prep####briefcase####but######num####day####one######dep####but####day######det####drive####the######amod####drive####hard######dep####carried####drive######advmod####zapped####just######partmod####drive####zapped
,,,tech support could n't figure it out and gave up .,amod####support####tech######nsubj####figure####support######nsubj####gave####support######aux####figure####could######neg####figure####n't######dobj####figure####it######prt####figure####out######conj_and####figure####gave######prt####gave####up
,player,,i am disappointed and looking elsewhere for something that can withstand the `` rigor `` of a business_traveler .,nsubj####disappointed####i######nsubj####looking####i######cop####disappointed####am######conj_and####disappointed####looking######advmod####looking####elsewhere######prep_for####looking####something######nsubj####withstand####something######aux####withstand####can######rcmod####something####withstand######det####rigor####the######dobj####withstand####rigor######det####business_traveler####a######prep_of####rigor####business_traveler
,,,i bought the 30gb zen_xtra from a well-known national electronics store as soon as i saw they were advertising it for $ 219.99 .,nsubj####bought####i######det####zen_xtra####the######amod####zen_xtra####30gb######dobj####bought####zen_xtra######det####store####a######amod####store####well-known######amod####store####national######nn####store####electronics######prep_from####zen_xtra####store######advmod####soon####as######advmod####bought####soon######mark####saw####as######nsubj####saw####i######dep####soon####saw######nsubj####advertising####they######aux####advertising####were######ccomp####saw####advertising######dobj####advertising####it######prep_for####advertising####$######num####$####219.99
player,,,"the combination of the price , storage_size , and player_features makes this player the best on the market .",det####combination####the######nsubj####makes####combination######det####price####the######prep_of####combination####price######prep_of####combination####storage_size######conj_and####price####storage_size######prep_of####combination####player_features######conj_and####price####player_features######det####player####this######nsubj####best####player######det####best####the######xcomp####makes####best######det####market####the######prep_on####best####market
,,,the biggest drawback that people have about the zen_xtra is the software .,det####drawback####the######amod####drawback####biggest######det####people####drawback######nsubj####software####drawback######nsubj####have####people######rcmod####drawback####have######advmod####zen_xtra####about######det####zen_xtra####the######dobj####have####zen_xtra######cop####software####is######det####software####the
software,,,"fact is , it could n't be easier to use .",nsubj####is####fact######nsubj####easier####it######aux####easier####could######neg####easier####n't######cop####easier####be######ccomp####is####easier######aux####use####to######xcomp####easier####use
,,,"these models now ship with creative 's mediasource_program , which allows you to highlight the files on your computer that you want to add to your zen_xtra , click a button , and transfer it straight to your player .",det####models####these######nsubj####ship####models######advmod####ship####now######poss####mediasource_program####creative######prep_with####ship####mediasource_program######nsubj####allows####mediasource_program######rcmod####mediasource_program####allows######nsubj####highlight####you######aux####highlight####to######xcomp####allows####highlight######det####files####the######dobj####highlight####files######poss####computer####your######prep_on####highlight####computer######complm####want####that######nsubj####want####you######xsubj####add####you######ccomp####highlight####want######aux####add####to######xcomp####want####add######poss####zen_xtra####your######prep_to####add####zen_xtra######xcomp####want####click######conj_and####add####click######det####button####a######dobj####click####button######xcomp####want####transfer######conj_and####add####transfer######dobj####transfer####it######dep####transfer####straight######poss####player####your######prep_to####transfer####player
,,,"assuming you have filled in all the id3_tags on your mp3s , you will not have any problem finding them on your zen_xtra .",dep####have####assuming######nsubj####filled####you######aux####filled####have######ccomp####assuming####filled######predet####id3_tags####all######det####id3_tags####the######prep_in####filled####id3_tags######poss####mp3s####your######prep_on####id3_tags####mp3s######nsubj####have####you######aux####have####will######neg####have####not######det####problem####any######dobj####have####problem######partmod####problem####finding######dobj####finding####them######poss####zen_xtra####your######prep_on####finding####zen_xtra
sound quality,,,"sound quality on this is amazing , as with all creative products .",amod####quality####sound######nsubj####amazing####quality######prep_on####quality####this######cop####amazing####is######mark####with####as######advcl####amazing####with######det####products####all######amod####products####creative######pobj####with####products
,sound,,even leaving it on the default_setting ( without the eax_enhancements ) produces crystal clear playback .,advmod####leaving####even######dobj####leaving####it######det####default_setting####the######prep_on####leaving####default_setting######dep####default_setting####without######det####eax_enhancements####the######pobj####without####eax_enhancements######dep####leaving####produces######nsubj####leaving####crystal######amod####crystal####clear######dep####clear####playback
menu,,,"the menu allows you to search for files by artist , genre , and album quite easily .",det####menu####the######nsubj####allows####menu######nsubj####search####you######aux####search####to######xcomp####allows####search######prep_for####search####files######nn####album####artist######prep_by####search####genre######conj_and####album####genre######prep_by####search####album######advmod####easily####quite######advmod####album####easily
battery,,,"the battery stays charged for a long time , and takes no more than 2 or 3 hours at most to fully recharge via the included ac_adapter .",det####battery####the######nsubj####charged####battery######nsubj####takes####battery######aux####charged####stays######det####time####a######amod####time####long######prep_for####charged####time######conj_and####charged####takes######dep####2####no######dep####than####more######quantmod####2####than######dobj####takes####2######num####hours####3######dobj####takes####hours######conj_or####2####hours######prep_at####takes####most######advmod####recharge####fully######prep_to####most####recharge######det####ac_adapter####the######amod####ac_adapter####included######prep_via####recharge####ac_adapter
player,,,"connect the player to your computer ( via usb ) , open up mediasource , and you can listen to your stored mp3s as they stream directly from the xtra !",det####player####the######dobj####connect####player######poss####computer####your######prep_to####connect####computer######dep####computer####via######pobj####via####usb######dep####connect####open######prt####open####up######dobj####open####mediasource######nsubj####listen####you######aux####listen####can######conj_and####connect####listen######poss####mp3s####your######amod####mp3s####stored######prep_to####listen####mp3s######mark####stream####as######nsubj####stream####they######advcl####listen####stream######advmod####stream####directly######det####xtra####the######prep_from####stream####xtra
,,,"get those mp3s off your hard drive , save space , and enjoy your massive music_library .",det####mp3s####those######dobj####get####mp3s######poss####drive####your######amod####drive####hard######prep_off####get####drive######conj_and####get####save######dobj####save####space######conj_and####get####enjoy######poss####music_library####your######amod####music_library####massive######dobj####enjoy####music_library
,,,awesome feature .,amod####feature####awesome
usb 2.0,,,usb 2.0 transfer is insanely fast .,amod####transfer####usb######num####transfer####2.0######nsubj####fast####transfer######cop####fast####is######advmod####fast####insanely
folder,,,"minor complaints : 1 ) even though the music is sorted via id3_tag on the player , the option to search for music contained in a folder is unavailable .",amod####complaints####minor######dep####contained####complaints######dep####contained####1######advmod####sorted####even######dep####sorted####though######det####music####the######nsubjpass####sorted####music######auxpass####sorted####is######dep####contained####sorted######prep_via####sorted####id3_tag######det####player####the######prep_on####id3_tag####player######det####option####the######nsubj####contained####option######prep_to####option####search######prep_for####search####music######mark####unavailable####in######det####folder####a######nsubj####unavailable####folder######cop####unavailable####is######advcl####contained####unavailable
