,,,nokia has definitely won me over with this one .,nsubj####won####nokia######aux####won####has######advmod####won####definitely######dobj####won####me######prt####won####over######det####one####this######prep_with####won####one
 look{+1],size,,first let me say that it is much smaller than it looks on the web and it also looks better .,nsubj####let####first######nsubj####say####me######ccomp####let####say######complm####smaller####that######nsubj####smaller####it######cop####smaller####is######advmod####smaller####much######ccomp####say####smaller######mark####looks####than######nsubj####looks####it######advcl####smaller####looks######det####web####the######prep_on####looks####web######nsubj####looks####it######advmod####looks####also######conj_and####let####looks######acomp####looks####better
radio,,,the radio_feature has superb sound quality .,det####radio_feature####the######nsubj####has####radio_feature######amod####quality####superb######dep####superb####sound######dobj####has####quality
,,,"i 've compared this phone to others such as 6100 , siemens sl55 .",nsubj####compared####i######aux####compared####'ve######det####phone####this######dobj####compared####phone######prep_to####compared####others######prep_such_as####others####6100######amod####sl55####siemens######appos####6100####sl55
,,,even though they might be smaller many people seem to have alot of problems with them .,advmod####smaller####even######dep####smaller####though######nsubj####smaller####they######aux####smaller####might######cop####smaller####be######advcl####seem####smaller######amod####people####many######nsubj####seem####people######xsubj####have####people######aux####have####to######xcomp####seem####have######dobj####have####alot######prep_of####alot####problems######prep_with####problems####them
design,,,it has a classic design yet looks hip .,nsubj####has####it######nsubj####looks####it######det####design####a######amod####design####classic######dobj####has####design######conj_yet####has####looks######dobj####looks####hip
,,,is a lot better compared to the toy_phone design of the nokia 7210 with its cheap feel .,cop####better####is######dep####lot####a######measure####better####lot######det####design####the######amod####design####toy_phone######prep_compared_to####better####design######det####nokia####the######prep_of####design####nokia######num####nokia####7210######poss####feel####its######amod####feel####cheap######prep_with####design####feel
,weight,,it is extremely light and dissapears in your pocket .,nsubj####light####it######nsubj####dissapears####it######cop####light####is######advmod####light####extremely######conj_and####light####dissapears######poss####pocket####your######prep_in####light####pocket
,,,for those that are looking for camera_phones just get the camera_attachement and comes with the stereo_headphones to listen to the radio in style .,dep####get####for######nsubj####looking####those######nsubj####get####those######nsubj####comes####those######xsubj####listen####those######aux####looking####are######rcmod####those####looking######prep_for####looking####camera_phones######advmod####get####just######det####camera_attachement####the######dobj####get####camera_attachement######conj_and####get####comes######det####stereo_headphones####the######prep_with####comes####stereo_headphones######aux####listen####to######xcomp####comes####listen######det####radio####the######prep_to####listen####radio######prep_in####radio####style
battery,,,the battery is alot better than most of the phones out there .,det####battery####the######nsubjpass####alot####battery######auxpass####alot####is######advmod####alot####better######prep_than####alot####most######det####phones####the######prep_of####most####phones######prep####alot####out######pobj####out####there
,,,one thing that i found out recently is that you do n't need t-zones from tmobile to go online .,num####thing####one######nsubj####is####thing######complm####found####that######nsubj####found####i######ccomp####thing####found######prt####found####out######advmod####found####recently######complm####need####that######nsubj####need####you######xsubj####go####you######aux####need####do######neg####need####n't######ccomp####is####need######dobj####need####t-zones######prep_from####need####tmobile######aux####go####to######xcomp####need####go######dobj####go####online
,,,"every t-mobile plan comes with gsm data , meaning that instead of speeds of 56 kbps is around 9 kbps ( with those small size_wap websites do you really think it makes a difference ) .",det####plan####every######amod####plan####t-mobile######nsubj####comes####plan######nn####data####gsm######prep_with####comes####data######xcomp####comes####meaning######nsubj####kbps####that######prep_instead_of####that####speeds######num####kbps####56######prep_of####speeds####kbps######cop####kbps####is######quantmod####9####around######num####kbps####9######ccomp####meaning####kbps######mark####do####with######det####websites####those######amod####websites####small######nn####websites####size_wap######nsubj####do####websites######dep####kbps####do######nsubj####think####you######advmod####think####really######ccomp####do####think######nsubj####makes####it######ccomp####think####makes######det####difference####a######dobj####makes####difference
,,,"anyways there are ways to set up your 6610 to connect to csd which uses regular minutes and you are surfing the net , being able to download pics and ringtones ( not java apps , you need t-zones for that ) .",nsubj####ways####anyways######advmod####ways####there######cop####ways####are######aux####set####to######infmod####ways####set######prt####set####up######poss####6610####your######dobj####set####6610######aux####connect####to######infmod####6610####connect######aux####csd####to######xcomp####connect####csd######nsubj####uses####which######dep####able####uses######amod####minutes####regular######dobj####uses####minutes######nsubj####surfing####you######aux####surfing####are######dep####csd####surfing######conj_and####able####surfing######det####net####the######dobj####surfing####net######cop####able####being######dep####csd####able######amod####pics####download######prep_to####able####pics######prep_to####able####ringtones######conj_and####pics####ringtones######neg####apps####not######nn####apps####java######nsubj####need####apps######nsubj####need####you######dep####able####need######dobj####need####t-zones######prep_for####t-zones####that
,,,tmobiles might not have the best reception in some areas but with amazing phones such as nokia 6610 and cheap plans that you get way more minutes than any other plans .,nsubj####have####tmobiles######aux####have####might######neg####have####not######det####reception####the######amod####reception####best######dobj####have####reception######dobj####have####reception######conj_but####reception####reception######det####areas####some######prep_in####reception####areas######amod####phones####amazing######prep_with####reception####phones######prep_such_as####phones####nokia######num####nokia####6610######amod####plans####cheap######prep_such_as####phones####plans######conj_and####nokia####plans######complm####get####that######nsubj####get####you######ccomp####have####get######nsubj####minutes####way######amod####minutes####more######xcomp####get####minutes######det####plans####any######amod####plans####other######prep_than####minutes####plans
,,,if you thought about getting this phone buy it .,mark####thought####if######nsubj####thought####you######csubj####buy####thought######prepc_about####thought####getting######det####phone####this######dobj####getting####phone######dobj####buy####it
phone,,,this phone is great as a whole and is not like others with one or two good qualities .,det####phone####this######nsubj####great####phone######nsubj####is####phone######cop####great####is######det####whole####a######prep_as####great####whole######conj_and####great####is######neg####is####not######prep_like####is####others######nn####qualities####one######conj_or####one####two######nn####qualities####two######amod####qualities####good######prep_with####others####qualities
,,,"i currrently have service with t-mobile , verizon , and t-mobile .",dep####have####i######advmod####have####currrently######dobj####have####service######prep_with####service####t-mobile######prep_with####service####verizon######conj_and####t-mobile####verizon######prep_with####service####t-mobile######conj_and####t-mobile####t-mobile
,,,the reason so many is that i am a contractor and all of my subs have these carriers and i can benifit from the mobile to mobile features that companies are now offering !,det####reason####the######nsubj####is####reason######advmod####many####so######amod####reason####many######complm####have####that######dep####have####i######advmod####contractor####am######det####contractor####a######nsubj####have####contractor######conj_and####contractor####all######nsubj####have####all######poss####subs####my######prep_of####all####subs######ccomp####is####have######det####carriers####these######dobj####have####carriers######nsubj####benifit####i######aux####benifit####can######ccomp####is####benifit######conj_and####have####benifit######det####mobile####the######prep_from####benifit####mobile######amod####features####mobile######prep_to####benifit####features######complm####offering####that######nsubj####offering####companies######aux####offering####are######advmod####offering####now######ccomp####benifit####offering
,,,"that beside you are prob . very well aware of many of the features that this phone is known for , and one that has not yet been mentioned : using this phone as a modem for any computer with a usb 1.0 port !",advmod####aware####very######advmod####aware####well######prep_of####aware####many######det####features####the######prep_of####many####features######prep_for####known####features######complm####known####that######det####phone####this######nsubjpass####known####phone######auxpass####known####is######dep####features####known######prep_of####many####one######conj_and####features####one######prep_for####known####one######nsubjpass####mentioned####one######aux####mentioned####has######neg####mentioned####not######advmod####mentioned####yet######auxpass####mentioned####been######rcmod####one####mentioned######dep####features####using######det####phone####this######dobj####using####phone######det####modem####a######prep_as####using####modem######det####computer####any######prep_for####modem####computer######det####port####a######nn####port####usb######num####port####1.0######prep_with####computer####port
,,,using the gprs_option you can pay 19.99 extra a month and have unlimited internet access added to you account .,csubj####account####using######det####gprs_option####the######dobj####using####gprs_option######nsubj####pay####you######nsubj####have####you######aux####pay####can######rcmod####gprs_option####pay######dobj####pay####19.99######amod####month####extra######det####month####a######tmod####pay####month######rcmod####gprs_option####have######conj_and####pay####have######amod####access####unlimited######nn####access####internet######dobj####have####access######partmod####access####added######prep_to####added####you
,,,"yes it is 56k speed , but the functionality is what you are paying for .",dep####speed####yes######nsubj####speed####it######cop####speed####is######amod####speed####56k######det####functionality####the######nsubj####is####functionality######conj_but####speed####is######dep####paying####what######nsubj####paying####you######aux####paying####are######ccomp####is####paying######prep####paying####for
,,,"i myself find this great for when i am at a site_i can run to my truck and hook up my modem_cable ( 49.99 @_nokiausa.com or t-mobile.com ) press_dial up on my laptop ( by the way it is a mac pb 1gz . and in a matter of seconds i can access my email , fax , and the entire web from my truck !",nsubj####access####and######det####matter####a######prep_in####and####matter######nn####i####seconds######prep_of####matter####i######aux####access####can######poss####email####my######dobj####access####email######dobj####access####fax######conj_and####email####fax######det####web####the######amod####web####entire######dobj####access####web######conj_and####email####web######poss####truck####my######prep_from####access####truck
internet,,,the only problem that i have found with the internet_service is that it does not access_mls ( real estate_broker software ) very well at all .,det####problem####the######amod####problem####only######dobj####found####problem######nsubj####is####problem######complm####found####that######nsubj####found####i######aux####found####have######dep####problem####found######det####internet_service####the######prep_with####found####internet_service######complm####access_mls####that######nsubj####access_mls####it######aux####access_mls####does######neg####access_mls####not######ccomp####is####access_mls######amod####software####real######nn####software####estate_broker######dobj####access_mls####software######advmod####well####very######advmod####access_mls####well######prep_at####access_mls####all
,,,i find a great amount of value in this option for any and all the people that travel buy car and do not have access to the t-mobile `` hot-spots `` .,dep####find####i######det####amount####a######amod####amount####great######dep####buy####amount######dep####buy####of######pobj####of####value######det####option####this######prep_in####value####option######prep_for####option####any######predet####people####all######det####people####the######prep_for####option####people######conj_and####any####people######advmod####buy####that######nsubj####buy####travel######nsubj####have####travel######dep####find####buy######dobj####buy####car######aux####have####do######neg####have####not######dep####find####have######conj_and####buy####have######dobj####have####access######det####hot-spots####the######amod####hot-spots####t-mobile######prep_to####have####hot-spots
browsing,,,it does well in all aspects of internet_browsing .,nsubj####does####it######advmod####does####well######det####aspects####all######prep_in####does####aspects######prep_of####aspects####internet_browsing
,,,as i also leave you with this review_i would like to thank you for reading it .,mark####leave####as######nsubj####leave####i######advmod####leave####also######csubj####like####leave######dobj####leave####you######det####review_i####this######prep_with####leave####review_i######aux####like####would######aux####thank####to######xcomp####like####thank######dobj####thank####you######prepc_for####thank####reading######dobj####reading####it
,,,do too many stuffs to get to a free phone after rebate .,advmod####stuffs####too######amod####stuffs####many######dobj####do####stuffs######aux####get####to######xcomp####do####get######det####phone####a######amod####phone####free######prep_to####get####phone######prep_after####get####rebate
,,,"also , if i want a family_plan , which mean i need tw phones on a plan_.. ."
,,,so how can i do that ... are n't that free for two after the rebates .,advmod####how####so######advmod####do####how######aux####do####can######nsubj####do####i######complm####free####that######cop####free####are######neg####free####n't######dep####free####that######dep####do####free######prep_for####free####two######det####rebates####the######prep_after####free####rebates
,,,and how can i do that ... .,nsubj####do####and######advmod####do####how######aux####do####can######advmod####do####i######dobj####do####that
,,,print those coupons twice for two phones ?,det####coupons####those######dobj####print####coupons######advmod####print####twice######num####phones####two######prep_for####print####phones
,,,...
,,,i saw another review saying his only gripe was a lack of voice_dialing .,nsubj####saw####i######det####review####another######nsubj####lack####review######partmod####review####saying######poss####gripe####his######amod####gripe####only######dobj####saying####gripe######cop####lack####was######det####lack####a######ccomp####saw####lack######prep_of####lack####voice_dialing
,,,the phone does have voice dialing according to amazon & t-mobile and nokia .,det####phone####the######nsubj####have####phone######aux####have####does######dobj####have####voice######partmod####voice####dialing######prep_according_to####dialing####amazon######prep_according_to####dialing####t-mobile######conj_and####amazon####t-mobile######conj_and####amazon####nokia######conj_and####t-mobile####nokia
,,,the phone may look large but it is very small smaller then the 3390 phone .,det####phone####the######nsubj####look####phone######aux####look####may######acomp####look####large######nsubj####small####it######cop####small####is######advmod####small####very######conj_but####look####small######dep####small####smaller######prep####small####then######det####phone####the######num####phone####3390######dep####then####phone
,,,my sister has this series of phone and she loves the radio and headset .,poss####sister####my######nsubj####has####sister######det####series####this######dobj####has####series######prep_of####series####phone######nsubj####loves####she######conj_and####has####loves######det####radio####the######dobj####loves####radio######dobj####loves####headset######conj_and####radio####headset
game,,,i find the lack of entertaining games on this phone quite disturbing .,dep####find####i######det####lack####the######nsubj####disturbing####lack######amod####games####entertaining######prep_of####lack####games######det####phone####this######prep_on####games####phone######advmod####disturbing####quite######xcomp####find####disturbing
,,,i do n't really like bounce .,dep####do####i######neg####do####n't######advmod####do####really######prep_like####do####bounce
,,,i have always known nokia to provide me with good games on their phones .,dep####known####i######aux####known####have######advmod####known####always######dobj####known####nokia######aux####provide####to######xcomp####known####provide######dobj####provide####me######amod####games####good######prep_with####provide####games######poss####phones####their######prep_on####games####phones
battery life,,,battery_life is good for a phone of this size .,nsubj####good####battery_life######cop####good####is######det####phone####a######prep_for####good####phone######det####size####this######prep_of####phone####size
voice dialing,,,"but anyway , the only thing you should really look at here is the fact that the phone does have voice_dialing .",cc####fact####but######advmod####fact####anyway######det####thing####the######amod####thing####only######dobj####look####thing######nsubj####fact####thing######nsubj####look####you######aux####look####should######advmod####look####really######rcmod####thing####look######prep####look####at######pobj####at####here######cop####fact####is######det####fact####the######complm####have####that######det####phone####the######nsubj####have####phone######aux####have####does######ccomp####fact####have######xcomp####have####voice_dialing
"screen,sound",,,great screen and great sound .,amod####screen####great######amod####sound####great######conj_and####screen####sound
,,,"ok , everybody loves the fm_radio in this , but you want a cell_phone first , right ?",nsubj####loves####ok######appos####ok####everybody######det####fm_radio####the######dobj####loves####fm_radio######prep_in####fm_radio####this######nsubj####want####you######conj_but####loves####want######det####first####a######amod####first####cell_phone######dobj####want####first######advmod####want####right
phone,,,"the 6610 excels as a cell_phone , thank_god .",det####excels####the######num####excels####6610######nsubj####thank_god####excels######det####cell_phone####a######prep_as####excels####cell_phone
"voice quality,reception",,,"the voice_quality is very good , and it gets great reception ( that is , in places where you get t-mobile coverage , which is not that good ; see below ) .",det####voice_quality####the######nsubj####good####voice_quality######cop####good####is######advmod####good####very######nsubj####gets####it######conj_and####good####gets######amod####reception####great######dobj####gets####reception######nsubj####is####that######dep####reception####is######prep_in####is####places######advmod####get####where######nsubj####get####you######advcl####is####get######amod####coverage####t-mobile######nsubj####good####coverage######nsubj####see####coverage######cop####good####is######neg####good####not######advmod####good####that######rcmod####coverage####good######ccomp####get####see######advmod####see####below
"screen,command",,,"the color_screen makes this free-after-rebates phone_shine bright , and commands are very responsive .",det####color_screen####the######nsubj####makes####color_screen######det####phone_shine####this######amod####phone_shine####free-after-rebates######nsubj####bright####phone_shine######xcomp####makes####bright######nsubj####responsive####commands######cop####responsive####are######advmod####responsive####very######conj_and####makes####responsive
button,,,my only gripe about the hardware is the buttons .,poss####gripe####my######amod####gripe####only######nsubj####buttons####gripe######det####hardware####the######prep_about####gripe####hardware######cop####buttons####is######det####buttons####the
,,,"nokia seems on a campaign to revamp the phone_keypad , which imho is totally unnecessary .",nsubj####seems####nokia######det####campaign####a######prep_on####seems####campaign######aux####revamp####to######infmod####campaign####revamp######det####phone_keypad####the######dobj####revamp####phone_keypad######dobj####unnecessary####phone_keypad######rel####unnecessary####which######nsubj####unnecessary####imho######cop####unnecessary####is######advmod####unnecessary####totally######rcmod####phone_keypad####unnecessary
key,,,"this model does have the traditional key_arrangement , it 's just that they are really close to one another , and have unconventional shapes , so it takes a big getting used to for someone like me with big hands .",det####model####this######nsubj####have####model######aux####have####does######det####key_arrangement####the######amod####key_arrangement####traditional######dobj####have####key_arrangement######nsubj####'s####it######dep####have####'s######advmod####close####just######dep####close####that######nsubj####close####they######nsubj####have####they######cop####close####are######advmod####close####really######ccomp####'s####close######prep_to####close####one######dep####one####another######ccomp####'s####have######conj_and####close####have######amod####shapes####unconventional######dobj####have####shapes######dep####have####so######nsubj####takes####it######ccomp####have####takes######det####big####a######dobj####takes####big######xsubj####like####big######auxpass####used####getting######partmod####big####used######aux####like####to######prep_for####like####someone######xcomp####used####like######dobj####like####me######amod####hands####big######prep_with####like####hands
,,,"( to be fair , the same can be said about many korean imports , and the nokia 's build quality is light years ahead of the koreans . )",aux####fair####to######cop####fair####be######dep####said####fair######det####same####the######nsubjpass####said####same######aux####said####can######auxpass####said####be######amod####imports####many######nn####imports####korean######prep_about####said####imports######det####nokia####the######poss####quality####nokia######partmod####quality####build######nsubj####years####quality######cop####years####is######amod####years####light######conj_and####said####years######det####koreans####the######prep_ahead_of####years####koreans
phone,,,"other than that , this is a perfect phone for those of us with no patience for flips .",advmod####phone####other######dep####other####than######pobj####than####that######nsubj####phone####this######cop####phone####is######det####phone####a######amod####phone####perfect######prep_for####phone####those######prep_of####those####us######det####patience####no######prep_with####phone####patience######prep_for####patience####flips
t-mobile,,,"finally , i reiterate my thumbs-down rating for t-mobile as a carrier .",advmod####reiterate####finally######nsubj####reiterate####i######poss####rating####my######nn####rating####thumbs-down######dobj####reiterate####rating######prep_for####reiterate####t-mobile######det####carrier####a######prep_as####reiterate####carrier
t-mobile,,,"their network_coverage is very sporadic , and the network always seems overloaded , resulting in very unpleasant calling experience .",poss####network_coverage####their######nsubj####sporadic####network_coverage######cop####sporadic####is######advmod####sporadic####very######det####network####the######nsubj####overloaded####network######advmod####overloaded####always######cop####overloaded####seems######conj_and####sporadic####overloaded######xcomp####overloaded####resulting######advmod####unpleasant####very######amod####experience####unpleasant######nn####experience####calling######prep_in####resulting####experience
,,,"if you can get this phone for cingular or at & t , go with the other carriers .",mark####get####if######nsubj####get####you######aux####get####can######advcl####go####get######det####phone####this######dobj####get####phone######prep_for####get####cingular######prep_for####get####at######advmod####cingular####at######conj_or####cingular####at######cc####t####&######prep_for####get####t######conj_or####cingular####t######det####carriers####the######amod####carriers####other######prep_with####go####carriers
phone,,,"the nokia 6610 is a relatively new phone , and what a great phone it is .",det####6610####the######amod####6610####nokia######nsubj####phone####6610######cop####phone####is######det####phone####a######advmod####new####relatively######amod####phone####new######dep####phone####what######det####phone####a######amod####phone####great######dep####is####phone######nsubj####is####it######conj_and####phone####is
,,,"when i first saw the 6610 , i thought it was too small .",advmod####saw####when######nsubj####saw####i######advmod####saw####first######dep####thought####saw######det####6610####the######dobj####saw####6610######nsubj####thought####i######nsubj####small####it######cop####small####was######advmod####small####too######ccomp####thought####small
size,,,"after using it , i found the size to be perfect for carrying in a pocket .",prepc_after####found####using######dobj####using####it######nsubj####found####i######det####size####the######dobj####found####size######aux####perfect####to######cop####perfect####be######infmod####size####perfect######prepc_for####perfect####carrying######det####pocket####a######prep_in####carrying####pocket
earpiece,,,"it is just a tad small to hold to your ear with your shoulder , but that is solved with the very comfortable handsfree_ear-piece which is included .",nsubj####small####it######xsubj####hold####it######cop####small####is######advmod####small####just######det####tad####a######measure####small####tad######aux####hold####to######xcomp####small####hold######poss####ear####your######prep_to####hold####ear######poss####shoulder####your######prep_with####hold####shoulder######nsubjpass####solved####that######auxpass####solved####is######conj_but####small####solved######det####handsfree_ear-piece####the######advmod####comfortable####very######amod####handsfree_ear-piece####comfortable######prep_with####solved####handsfree_ear-piece######nsubjpass####included####handsfree_ear-piece######auxpass####included####is######rcmod####handsfree_ear-piece####included
,,,"the ear-piece has a button that answers and hangs-up the phone so you do not have to mess with the phone at all , unless dialing a number .",det####ear-piece####the######nsubj####has####ear-piece######det####button####a######dobj####has####button######nsubj####answers####button######nsubj####hangs-up####button######rcmod####button####answers######rcmod####button####hangs-up######conj_and####answers####hangs-up######det####phone####the######dobj####answers####phone######mark####have####so######nsubj####have####you######xsubj####mess####you######aux####have####do######neg####have####not######advcl####answers####have######aux####mess####to######xcomp####have####mess######det####phone####the######prep_with####mess####phone######advmod####mess####at######dep####at####all######mark####dialing####unless######advcl####have####dialing######det####number####a######dobj####dialing####number
voice dialing,,,"unfortunately , the 6610 does not offer voice dialing like my previous phone , but the other features it packs outweighs this shortcoming .",advmod####offer####unfortunately######det####6610####the######nsubj####offer####6610######aux####offer####does######neg####offer####not######dobj####offer####voice######partmod####voice####dialing######poss####phone####my######amod####phone####previous######prep_like####dialing####phone######det####features####the######amod####features####other######dobj####packs####features######nsubj####outweighs####features######nsubj####packs####it######rcmod####features####packs######conj_but####offer####outweighs######det####shortcoming####this######dobj####outweighs####shortcoming
screen,,,"when i turned the phone on , the first thing that hit me is how good the screen is .",advmod####turned####when######nsubj####turned####i######dep####is####turned######det####phone####the######dobj####turned####phone######prep####turned####on######det####thing####the######amod####thing####first######nsubj####hit####thing######nsubj####is####thing######rcmod####thing####hit######dobj####hit####me######advmod####good####how######dep####is####good######det####screen####the######nsubj####is####screen######ccomp####is####is
"resolution, color",,,the resolution is very good and the colors are bright and even changeable !,det####resolution####the######nsubj####good####resolution######cop####good####is######advmod####good####very######det####colors####the######nsubj####bright####colors######nsubj####changeable####colors######cop####bright####are######conj_and####good####bright######advmod####changeable####even######conj_and####good####changeable######conj_and####bright####changeable
,,,the phone has several color_schemes you can choose from .,det####phone####the######nsubj####has####phone######amod####color_schemes####several######dobj####has####color_schemes######prep_from####choose####color_schemes######nsubj####choose####you######aux####choose####can######rcmod####color_schemes####choose
,,,i like the default_blue .,dep####like####i######det####default_blue####the######dobj####like####default_blue
,,,you can also set a background_wallpaper .,nsubj####set####you######aux####set####can######advmod####set####also######det####background_wallpaper####a######dobj####set####background_wallpaper
ringtone,,,"the ringtones included are awesome , and did i mention they were polyphonic ?",det####ringtones####the######nsubj####included####ringtones######cop####awesome####are######ccomp####included####awesome######ccomp####included####did######conj_and####awesome####did######nsubj####mention####i######ccomp####did####mention######nsubj####polyphonic####they######cop####polyphonic####were######ccomp####mention####polyphonic
,,,no more annoying series of beeps .,det####series####no######advmod####annoying####more######amod####series####annoying######nsubj####beeps####series######prep####series####of
,,,this phone plays up to 4 tones at one time and it actually sounds like music .,det####phone####this######nsubj####plays####phone######prt####plays####up######num####tones####4######prep_to####plays####tones######num####time####one######prep_at####tones####time######nsubj####sounds####it######advmod####sounds####actually######conj_and####plays####sounds######prep_like####sounds####music
ring,,,you can also assign special rings and graphics to special people when they call .,nsubj####assign####you######aux####assign####can######advmod####assign####also######amod####rings####special######dobj####assign####rings######dobj####assign####graphics######conj_and####rings####graphics######amod####people####special######prep_to####assign####people######advmod####call####when######nsubj####call####they######advcl####assign####call
,,,"the massive phonebook can hold 300 entries , with multiple phone_number per entry , so you can program your boss 's home , work and cellphone_numbers all under one contact .",det####phonebook####the######amod####phonebook####massive######nsubj####hold####phonebook######aux####hold####can######num####entries####300######dobj####hold####entries######amod####phone_number####multiple######prep_with####hold####phone_number######prep_per####phone_number####entry######dep####hold####so######nsubj####program####you######aux####program####can######ccomp####hold####program######poss####boss####your######poss####home####boss######dobj####program####home######dobj####program####work######conj_and####home####work######dobj####program####cellphone_numbers######conj_and####home####cellphone_numbers######advmod####home####all######num####contact####one######prep_under####program####contact
phone,,,"the phone also sports an image_gallery ( with option_camera attachment ) , a calendar_/ organizer , alarm_clock with snooze , fm radio ( way_cool , even if it is just through an ear-peice ) , games , java_applications and gprs high-speed internet_connection .",det####phone####the######nsubj####sports####phone######advmod####sports####also######det####image_gallery####an######dobj####sports####image_gallery######dep####image_gallery####with######nn####attachment####option_camera######pobj####with####attachment######det####organizer####a######nn####organizer####calendar######amod####organizer####_######nn####organizer####\/######appos####image_gallery####organizer######appos####image_gallery####alarm_clock######prep_with####alarm_clock####snooze######nn####radio####fm######appos####image_gallery####radio######dep####radio####way_cool######advmod####is####even######dep####is####if######nsubj####is####it######ccomp####way_cool####is######advmod####is####just######det####ear-peice####an######prep_through####is####ear-peice######appos####image_gallery####games######appos####image_gallery####java_applications######conj_and####games####java_applications######appos####image_gallery####gprs######conj_and####games####gprs######amod####internet_connection####high-speed######dep####games####internet_connection
"gprs,t-zone",,,"the gprs connection is sometimes slow , and writing instant messages with the included aol_instant messenger_software is a pain , but the other t-zones applications are quite useful .",det####connection####the######nn####connection####gprs######nsubj####slow####connection######cop####slow####is######advmod####slow####sometimes######csubj####pain####writing######amod####messages####instant######dobj####writing####messages######det####messenger_software####the######amod####messenger_software####included######dep####included####aol_instant######prep_with####writing####messenger_software######cop####pain####is######det####pain####a######conj_and####slow####pain######det####applications####the######amod####applications####other######amod####applications####t-zones######nsubj####useful####applications######cop####useful####are######advmod####useful####quite######conj_but####slow####useful
,,,"you can get weather , movies , horoscopes and more with a few clicks .",nsubj####get####you######aux####get####can######dobj####get####weather######dobj####get####movies######conj_and####weather####movies######dobj####get####horoscopes######conj_and####weather####horoscopes######dobj####get####more######conj_and####weather####more######det####clicks####a######amod####clicks####few######prep_with####get####clicks
,,,"the service_deafults to showing the information associated with your billing_zip code , but you can change the default and seach other areas while on the go .",det####service_deafults####the######nsubj####associated####service_deafults######prepc_to####service_deafults####showing######det####information####the######dobj####showing####information######poss####code####your######nn####code####billing_zip######prep_with####associated####code######nsubj####change####you######nsubj####seach####you######aux####change####can######conj_but####associated####change######det####default####the######dobj####change####default######conj_but####associated####seach######conj_and####change####seach######amod####areas####other######dobj####seach####areas######mark####on####while######advcl####seach####on######det####go####the######pobj####on####go
t-zone,,,"one downside : as of this writing , t-mobile has n't updated their t-zone_system to fully support the 6610 .",num####downside####one######nsubj####updated####downside######det####writing####this######prep_as_of####downside####writing######advmod####updated####t-mobile######aux####updated####has######neg####updated####n't######poss####t-zone_system####their######dobj####updated####t-zone_system######aux####support####to######advmod####support####fully######infmod####t-zone_system####support######det####6610####the######dobj####support####6610
,,,"their website does not show it as a compatible phone , and should i try to access the game downloads on t-zones the system returns an error_message saying my phone is not supported .",poss####website####their######nsubj####show####website######nsubj####try####website######xsubj####access####website######aux####show####does######neg####show####not######dobj####show####it######det####phone####a######amod####phone####compatible######prep_as####show####phone######aux####try####should######advmod####try####i######conj_and####show####try######aux####access####to######xcomp####try####access######det####downloads####the######nn####downloads####game######dobj####access####downloads######prep_on####access####t-zones######det####system####the######nsubj####returns####system######rcmod####t-zones####returns######det####error_message####an######nsubjpass####supported####error_message######partmod####error_message####saying######poss####phone####my######dobj####saying####phone######auxpass####supported####is######neg####supported####not######ccomp####returns####supported
,,,i have been assured this will be fixed soon .,dep####assured####i######aux####assured####have######auxpass####assured####been######nsubjpass####fixed####this######aux####fixed####will######auxpass####fixed####be######ccomp####assured####fixed######advmod####fixed####soon
,,,"now , for the t-mobile service :",dep####now####for######det####service####the######amod####service####t-mobile######pobj####for####service
,,,i can not say enough good things about the people who answer the phones .,nsubj####say####i######aux####say####can######neg####say####not######advmod####good####enough######amod####things####good######dobj####say####things######det####people####the######prep_about####say####people######nsubj####answer####people######rcmod####people####answer######det####phones####the######dobj####answer####phones
,,,"if you have a question , they have the answer .",mark####have####if######nsubj####have####you######advcl####have####have######det####question####a######dobj####have####question######nsubj####have####they######det####answer####the######dobj####have####answer
,,,"and should they not know it , they can find it out pretty quick .",nsubj####should####and######ccomp####find####should######dobj####should####they######neg####know####not######dep####should####know######dobj####know####it######nsubj####find####they######aux####find####can######dobj####find####it######prt####find####out######advmod####quick####pretty######advmod####find####quick
,,,every phone_experience has started with a very brief time on hold followed by a cheerful representative answering the phone .,det####phone_experience####every######nsubj####started####phone_experience######aux####started####has######det####time####a######advmod####brief####very######amod####time####brief######prep_with####started####time######prep_on####time####hold######partmod####hold####followed######det####representative####a######amod####representative####cheerful######agent####followed####representative######partmod####representative####answering######det####phone####the######dobj####answering####phone
,t-mobile service,,all my questions or problems have been quickly and satisfactorily resolved .,advmod####been####all######poss####questions####my######nsubj####been####questions######nsubj####resolved####questions######conj_or####questions####problems######nsubj####been####problems######aux####been####have######advmod####been####quickly######advmod####resolved####satisfactorily######conj_and####been####resolved
,,,i 'd like to see my old carrier do that !,nsubj####like####i######xsubj####see####i######aux####like####'d######aux####see####to######xcomp####like####see######poss####carrier####my######amod####carrier####old######nsubj####do####carrier######ccomp####see####do######dobj####do####that
rate plan,,,"the rate_plans are also very good , at least for me .",det####rate_plans####the######nsubj####good####rate_plans######cop####good####are######advmod####good####also######advmod####good####very######advmod####good####at######dep####at####least######dep####at####for######pobj####for####me
